lr,option,dropout_prob,epochs,just_simcse,use_simcse,tau,task_list,optimizer,use_PCGRAD,model_loader_filepath,paraphrase_detection_acccuracy,sentiment_classification_accuracy,semantic_textual_similarity_correlation,overall_score,use_pcgrad
1e-05,finetune,0.3,0,F,T,5.0,"['sst', 'nli', 'para', 'sts']",ADAMW,,models/BEST_MODEL.pt,,,,0.0,T
1e-05,finetune,0.3,3,F,T,5.0,"['sst', 'nli', 'para', 'sts']",ADAMW,,models/BEST_MODEL.pt,0.6250742133386107,0.2815622161671208,0.0788532373528581,0.3284965556195299,T
1e-05,finetune,0.3,0,F,T,5.0,"['sst', 'nli', 'para', 'sts']",ADAMW,,models/BEST_MODEL.pt,,,,0.0,T
1e-05,finetune,0.3,8,F,T,5.0,"['sst', 'nli', 'para', 'sts']",ADAMW,,models/BEST_MODEL.pt,0.6690579853552345,0.36330608537693,0.257054876909132,0.4298063158804322,F
1e-05,finetune,0.3,8,F,T,5.0,"['sst', 'nli', 'para', 'sts']",ADAMW,,models/BEST_MODEL.pt,0.654264793192163,0.2888283378746594,0.1211382060597107,0.3547437790421777,T
1e-05,finetune,0.3,8,F,T,5.0,"['sst', 'nli', 'para', 'sts']",ADAMW,,models/BEST_MODEL.pt,0.654264793192163,0.2888283378746594,0.1211382060597107,0.3547437790421777,T
0.001,pretrain,0.3,3,F,T,0.05,['sts'],ADAMW,,SIMCSE_pretrained,0.4292499505244409,0.1852861035422343,0.0915579806660512,0.2353646782442421,F
1e-05,finetune,0.3,1,F,T,5.0,"['sst', 'nli', 'para', 'sts']",ADAMW,,models/BEST_MODEL.pt,0.6248268355432416,0.2588555858310626,-0.001791614155932,0.293963602406124,T
1e-05,finetune,0.3,1,F,T,5.0,"['sst', 'nli', 'para', 'sts']",ADAMW,,models/BEST_MODEL.pt,0.6248268355432416,0.2588555858310626,-0.001791614155932,0.293963602406124,T
1e-05,finetune,0.3,1,F,T,5.0,"['sst', 'nli', 'para', 'sts']",ADAMW,,models/BEST_MODEL.pt,0.6248268355432416,0.2588555858310626,-0.001791614155932,0.293963602406124,T
1e-05,finetune,0.3,1,F,T,5.0,"['sst', 'nli', 'para', 'sts']",ADAMW,,models/BEST_MODEL.pt,0.6248268355432416,0.2588555858310626,-0.001791614155932,0.293963602406124,T
3e-05,finetune,0.2,8,F,T,5.0,"['sst', 'nli', 'para', 'sts']",ADAMW,,models/BEST_MODEL.pt,0.642341183455373,0.2815622161671208,0.187011749550138,0.3703050497242106,F
3e-05,finetune,0.2,8,F,T,5.0,"['sst', 'nli', 'para', 'sts']",ADAMW,,models/BEST_MODEL.pt,0.7168513754205422,0.2715712988192552,0.2558291974760511,0.4147506239052829,T
3e-05,finetune,0.2,8,F,T,1.0,"['sst', 'nli', 'para', 'sts']",ADAMW,,models/BEST_MODEL.pt,0.624727884425094,0.2534059945504087,0.0731884787982886,0.3171074525912637,F
3e-05,finetune,0.2,8,F,T,1.0,"['sst', 'nli', 'para', 'sts']",ADAMW,,models/BEST_MODEL.pt,0.7176429843657234,0.3914623069936421,0.3170878504674403,0.4753977139422686,T
3e-05,finetune,0.2,8,F,T,0.1,"['sst', 'nli', 'para', 'sts']",ADAMW,,models/BEST_MODEL.pt,0.624727884425094,0.2534059945504087,0.1860506888128754,0.3547281892627927,F
3e-05,finetune,0.2,8,F,T,0.1,"['sst', 'nli', 'para', 'sts']",ADAMW,,models/BEST_MODEL.pt,0.6930041559469622,0.36330608537693,0.2698701806684949,0.4420601406641291,T
1e-05,finetune,0.2,8,F,T,5.0,"['sst', 'nli', 'para', 'sts']",ADAMW,,models/BEST_MODEL.pt,0.687363942212547,0.396911898274296,0.2695387732028191,0.4512715378965541,F
1e-05,finetune,0.2,8,F,T,5.0,"['sst', 'nli', 'para', 'sts']",ADAMW,,models/BEST_MODEL.pt,0.6376410053433604,0.2842870118074477,0.1972038887134519,0.37304396862142,T
1e-05,finetune,0.2,8,F,T,1.0,"['sst', 'nli', 'para', 'sts']",ADAMW,,models/BEST_MODEL.pt,0.6936473382149219,0.3233424159854677,0.2892196195767006,0.4354031245923634,F
1e-05,finetune,0.2,8,F,T,1.0,"['sst', 'nli', 'para', 'sts']",ADAMW,,models/BEST_MODEL.pt,0.6896892934890164,0.3042688465031789,0.2151696826523524,0.4030426075481825,T
1e-05,finetune,0.2,8,F,T,0.1,"['sst', 'nli', 'para', 'sts']",ADAMW,,models/BEST_MODEL.pt,0.6745992479715021,0.3787465940054496,0.2943778331986872,0.4492412250585463,F
1e-05,finetune,0.2,8,F,T,0.1,"['sst', 'nli', 'para', 'sts']",ADAMW,,models/BEST_MODEL.pt,0.6496140906392243,0.2715712988192552,0.194280137794969,0.3718218424178162,T
3e-06,finetune,0.2,8,F,T,5.0,"['sst', 'nli', 'para', 'sts']",ADAMW,,models/BEST_MODEL.pt,0.5871264595289927,0.2970027247956403,0.0882226031119443,0.3241172624788591,F
3e-06,finetune,0.2,8,F,T,5.0,"['sst', 'nli', 'para', 'sts']",ADAMW,,models/BEST_MODEL.pt,0.6293785869780328,0.2851952770208901,0.0549733572261015,0.3231824070750081,T
3e-06,finetune,0.2,8,F,T,1.0,"['sst', 'nli', 'para', 'sts']",ADAMW,,models/BEST_MODEL.pt,0.6267069067880467,0.2842870118074477,0.0475684166219944,0.3195207784058296,F
3e-06,finetune,0.2,8,F,T,1.0,"['sst', 'nli', 'para', 'sts']",ADAMW,,models/BEST_MODEL.pt,0.628784880269147,0.2861035422343324,0.0500286796383169,0.3216390340472654,T
3e-06,finetune,0.2,8,F,T,0.1,"['sst', 'nli', 'para', 'sts']",ADAMW,,models/BEST_MODEL.pt,0.6282406491193351,0.298819255222525,0.087113820546943,0.3380579082962677,F
3e-06,finetune,0.2,8,F,T,0.1,"['sst', 'nli', 'para', 'sts']",ADAMW,,models/BEST_MODEL.pt,0.6257173956065704,0.2870118074477747,0.0606892754787806,0.3244728261777085,T
3e-05,finetune,0.3,8,F,T,5.0,"['sst', 'nli', 'para', 'sts']",ADAMW,,models/BEST_MODEL.pt,0.649663566198298,0.257039055404178,0.2298901371543718,0.3788642529189492,F
3e-05,finetune,0.3,8,F,T,5.0,"['sst', 'nli', 'para', 'sts']",ADAMW,,models/BEST_MODEL.pt,0.7055214723926381,0.2697547683923705,0.3147512414029877,0.4300091607293321,T
3e-05,finetune,0.3,8,F,T,1.0,"['sst', 'nli', 'para', 'sts']",ADAMW,,models/BEST_MODEL.pt,0.670839105481892,0.259763851044505,0.2129009059125112,0.3811679541463027,F
3e-05,finetune,0.3,8,F,T,1.0,"['sst', 'nli', 'para', 'sts']",ADAMW,,models/BEST_MODEL.pt,0.7145754997031466,0.3896457765667575,0.2830048493077681,0.4624087085258908,T
