lr,option,dropout_prob,epochs,just_simcse,use_simcse,tau,paraphrase_detection_acccuracy,sentiment_classification_accuracy,semantic_textual_similarity_correlation,overall_score
1e-05,finetune,0.3,1,F,T,0.1,0.3777458935285969,0.1444141689373297,-0.0211407984138368,1.0
1e-05,finetune,0.3,1,F,T,0.1,0.3777458935285969,0.1444141689373297,-0.0211407984138368,0.1670064213506965
1e-05,finetune,0.3,1,F,T,0.1,0.3777458935285969,0.1444141689373297,-0.0211407984138368,0.1670064213506965
1e-05,finetune,0.3,1,F,T,0.1,0.3777458935285969,0.1444141689373297,-0.0211407984138368,0.1670064213506965
1e-05,finetune,0.3,1,T,T,0.1,0.377993271323966,0.142597638510445,-0.0092701733478634,0.1704402454955158
3e-06,finetune,0.3,10,F,T,0.1,0.5507619236097367,0.4368755676657584,0.3018119724864463,0.4298164879206472
1e-05,finetune,0.3,10,T,T,0.1,0.4292499505244409,0.1852861035422343,0.0660392680414386,0.2268584407027046
9e-06,finetune,0.3,10,F,T,0.05,0.6623293093211954,0.4677565849227975,0.3270954000192094,0.4857270980877341
0.001,pretrain,0.3,1,F,T,0.05,0.3862556896892934,0.3496821071752952,0.0441837304270119,0.2600405090972001
0.001,pretrain,0.3,1,F,T,0.05,0.3758658222837918,0.2706630336058129,0.1422954757087261,0.2629414438661103
0.001,pretrain,0.3,1,F,T,0.05,0.4607658816544627,0.3415077202543142,0.1030541116308189,0.3017759045131986
0.0005,pretrain,0.3,3,F,T,0.05,0.389916881060756,0.257039055404178,0.1073460625477054,0.2514339996708798
0.0005,pretrain,0.3,3,F,T,0.05,0.6158717593508807,0.3024523160762943,0.1316817633541211,0.350001946260432
